Periodo,Índice general 
01/11/2012,80.45705872
02/11/2012,80.30906304
01/12/2012,80.52917844
02/12/2012,80.60730813
01/01/2013,80.7312639
02/01/2013,81.05354889
01/02/2013,81.24661939
02/02/2013,81.33601779
01/03/2013,81.75972114
02/03/2013,82.01514514
01/04/2013,81.93851794
02/04/2013,81.94452792
01/05/2013,81.66130777
02/05/2013,81.67633271
01/06/2013,81.63801911
02/06/2013,81.59970551
01/07/2013,81.59970551
02/07/2013,81.58392932
01/08/2013,81.79653224
02/08/2013,81.85212453
01/09/2013,82.12858345
02/09/2013,82.13684717
01/10/2013,82.46664463
02/10/2013,82.57933169
01/11/2013,83.2817477
02/11/2013,83.30203137
01/12/2013,83.63783881
02/12/2013,83.90302903
01/01/2014,84.47022057
02/01/2014,84.56788269
01/02/2014,84.66854979
02/02/2014,84.79701304
01/03/2014,84.94350622
02/03/2014,84.9863273
01/04/2014,84.82856542
02/04/2014,84.78574434
01/05/2014,84.47322555
02/05/2014,84.59868382
01/06/2014,84.6670473
02/06/2014,84.69709718
01/07/2014,84.86462528
02/07/2014,84.96529239
01/08/2014,85.12605926
02/08/2014,85.31311978
01/09/2014,85.5895787
02/09/2014,85.60310115
01/10/2014,86.02905824
02/10/2014,86.11019292
01/11/2014,86.74499669
02/11/2014,86.7833103
01/12/2014,87.14315764
02/12/2014,87.23556103
01/01/2015,87.07254042
02/01/2015,87.14691388
01/02/2015,87.23856602
02/02/2015,87.31143699
01/03/2015,87.46844762
02/03/2015,87.79223511
01/04/2015,87.3963279
02/04/2015,87.41210409
01/05/2015,86.94858465
02/05/2015,86.98539576
01/06/2015,87.10033656
02/06/2015,87.12512771
01/07/2015,87.20701364
02/07/2015,87.27537713
01/08/2015,87.37604423
02/08/2015,87.47370635
01/09/2015,87.75392151
02/09/2015,87.75091652
01/10/2015,88.15658994
02/10/2015,88.25199832
01/11/2015,88.71176152
02/11/2015,88.65992548
01/12/2015,88.88830459
02/12/2015,89.2045796
01/01/2016,89.22861951
02/01/2016,89.54414328
01/02/2016,89.79956728
02/02/2016,89.7552437
01/03/2016,89.84163712
02/03/2016,89.97761284
01/04/2016,89.6673478
02/04/2016,89.58395937
01/05/2016,89.15048981
02/05/2016,89.29998798
01/06/2016,89.32027165
02/06/2016,89.32778412
01/07/2016,89.57569565
02/07/2016,89.53888455
01/08/2016,89.81985095
02/08/2016,89.79881603
01/09/2016,90.2818679
02/09/2016,90.43361981
01/10/2016,90.87986057
02/10/2016,90.93244786
01/11/2016,91.63411263
02/11/2016,91.59955526
01/12/2016,91.98043753
02/12/2016,92.09838332
01/01/2017,93.49194663
02/01/2017,93.71581826
01/02/2017,94.02833704
02/02/2017,94.26122363
01/03/2017,94.59177234
02/03/2017,94.85245508
01/04/2017,94.70971813
02/04/2017,94.96814712
01/05/2017,94.64736463
02/05/2017,94.80362402
01/06/2017,94.94711221
02/06/2017,94.97941583
01/07/2017,95.20328746
02/07/2017,95.44293527
01/08/2017,95.73742412
02/08/2017,95.84935994
01/09/2017,96.17615241
02/09/2017,96.01012681
01/10/2017,96.60436324
02/10/2017,96.79142376
01/11/2017,97.67714406
02/11/2017,97.71245267
01/12/2017,98.13765851
02/12/2017,98.40810746
01/01/2018,98.64249654
02/01/2018,98.94750285
01/02/2018,99.15033956
02/02/2018,99.19316065
01/03/2018,99.48539576
02/03/2018,99.49816696
01/04/2018,99.1540958
02/04/2018,99.15634954
01/05/2018,98.86787067
02/05/2018,99.12104093
01/06/2018,99.25401166
02/06/2018,99.4989182
01/07/2018,99.81894946
02/07/2018,100
01/08/2018,100.343
02/08/2018,100.641
01/09/2018,100.865
02/09/2018,100.97
01/10/2018,101.372
02/10/2018,101.509
01/11/2018,102.132
02/11/2018,102.473
01/12/2018,103.049
02/12/2018,102.992
01/01/2019,103.105
02/01/2019,103.112
01/02/2019,103.009
02/02/2019,103.15
01/03/2019,103.415
02/03/2019,103.537
01/04/2019,103.501
02/04/2019,103.562
01/05/2019,103.25
02/05/2019,103.216
01/06/2019,103.225
02/06/2019,103.373
01/07/2019,103.654
